trip_id,departure_time,stop_sequence,arrival_time,timepoint,stop_id
1004015,11.12.00,24,11.12.00,0,5
1004015,11.16.00,25,11.16.00,0,4
1004015,11.18.00,26,11.18.00,0,3
1004015,11.20.00,27,11.20.00,0,2
1004015,11.27.00,28,11.27.00,0,1
1004016,11.33.00,1,11.33.00,0,1
1004016,11.40.00,2,11.40.00,0,2
1004016,11.42.00,3,11.42.00,0,3
1004016,11.44.00,4,11.44.00,0,4
1004016,11.48.00,5,11.48.00,0,5
1004016,11.52.00,6,11.52.00,0,6
1004016,11.54.00,7,11.54.00,0,7
1004016,11.58.00,8,11.58.00,0,8
1004016,12.02.00,9,12.02.00,0,9
1004016,12.05.00,10,12.05.00,0,10
1004016,12.07.00,11,12.07.00,0,11
1004016,12.09.00,12,12.09.00,0,12
1004016,12.09.00,13,12.09.00,0,13
1004016,12.11.00,14,12.11.00,0,14
1004016,12.15.00,15,12.15.00,0,15
1004016,12.17.00,16,12.17.00,0,16
1004016,12.19.00,17,12.19.00,0,17
1004016,12.20.00,18,12.20.00,0,18
1004016,12.21.00,19,12.21.00,0,19
1004016,12.23.00,20,12.23.00,0,20
1004016,12.25.00,21,12.25.00,0,21
1004016,12.27.00,22,12.27.00,0,22
1004016,12.31.00,23,12.31.00,0,23
1004016,12.34.00,24,12.34.00,0,24
1004016,12.37.00,25,12.37.00,0,25
1004016,12.39.00,26,12.39.00,0,26
1004016,12.43.00,27,12.43.00,0,27
1004016,12.46.00,28,12.46.00,0,28
1004017,12.52.00,1,12.52.00,0,28
1004017,12.55.00,2,12.55.00,0,27
1004017,12.59.00,3,12.59.00,0,26
1004017,13.01.00,4,13.01.00,0,25
1004017,13.04.00,5,13.04.00,0,24
1004017,13.07.00,6,13.07.00,0,23
1004017,13.11.00,7,13.11.00,0,22
1004017,13.13.00,8,13.13.00,0,21
1004017,13.15.00,9,13.15.00,0,20
1004017,13.17.00,10,13.17.00,0,19
1004017,13.18.00,11,13.18.00,0,18
1004017,13.19.00,12,13.19.00,0,17
1004017,13.21.00,13,13.21.00,0,16
1004017,13.23.00,14,13.23.00,0,15
1004017,13.27.00,15,13.27.00,0,14
1004017,13.29.00,16,13.29.00,0,13
1004017,13.30.00,17,13.30.00,0,12
1004017,13.32.00,18,13.32.00,0,11
1004017,13.34.00,19,13.34.00,0,10
1004017,13.37.00,20,13.37.00,0,9
1004017,13.41.00,21,13.41.00,0,8
1004017,13.45.00,22,13.45.00,0,7
1004017,13.47.00,23,13.47.00,0,6
1004017,13.51.00,24,13.51.00,0,5
1004017,13.55.00,25,13.55.00,0,4
1004017,13.57.00,26,13.57.00,0,3
1004017,13.59.00,27,13.59.00,0,2
1004017,14.06.00,28,14.06.00,0,1
1004018,14.12.00,1,14.12.00,0,1
1004018,14.19.00,2,14.19.00,0,2
1004018,14.21.00,3,14.21.00,0,3
1004018,14.23.00,4,14.23.00,0,4
1004018,14.27.00,5,14.27.00,0,5
1004018,14.31.00,6,14.31.00,0,6
1004018,14.33.00,7,14.33.00,0,7
1004018,14.37.00,8,14.37.00,0,8
1004018,14.41.00,9,14.41.00,0,9
1004018,14.44.00,10,14.44.00,0,10
1004018,14.46.00,11,14.46.00,0,11
1004018,14.48.00,12,14.48.00,0,12
1004018,14.49.00,13,14.49.00,0,13
1004018,14.51.00,14,14.51.00,0,14
1004018,14.55.00,15,14.55.00,0,15
1004018,14.57.00,16,14.57.00,0,16
1004018,14.59.00,17,14.59.00,0,17
1004018,15.00.00,18,15.00.00,0,18
1004018,15.01.00,19,15.01.00,0,19
1004018,15.03.00,20,15.03.00,0,20
1004018,15.05.00,21,15.05.00,0,21
1004018,15.07.00,22,15.07.00,0,22
1004018,15.11.00,23,15.11.00,0,23
1004018,15.14.00,24,15.14.00,0,24
1004018,15.17.00,25,15.17.00,0,25
1004018,15.19.00,26,15.19.00,0,26
1004018,15.23.00,27,15.23.00,0,27
1004018,15.26.00,28,15.26.00,0,28
1004019,15.32.00,1,15.32.00,0,28
1004019,15.35.00,2,15.35.00,0,27
1004019,15.39.00,3,15.39.00,0,26
1004019,15.41.00,4,15.41.00,0,25
1004019,15.44.00,5,15.44.00,0,24
1004019,15.47.00,6,15.47.00,0,23
1004019,15.51.00,7,15.51.00,0,22
1004019,15.53.00,8,15.53.00,0,21
1004019,15.55.00,9,15.55.00,0,20
1004019,15.57.00,10,15.57.00,0,19
1004019,15.58.00,11,15.58.00,0,18
1004019,15.59.00,12,15.59.00,0,17
1004019,16.01.00,13,16.01.00,0,16
1004019,16.03.00,14,16.03.00,0,15
